index,name,type,calorie,best-match-flavors
0,mtn. dew,citrus,full,fruit candy herbal
1,diet mtn. dew,citrus,diet,fruit candy herbal
2,dr. pepper,cola,full,fruit dessert spice herbal
3,diet dr. pepper,cola,diet,fruit dessert spice herbal
4,dr. pepper zero,cola,diet,fruit dessert spice herbal
5,dr pepper cream soda,cola,full,fruit dessert spice herbal
6,sprite,citrus,full,fruit candy
7,sprite zero,citrus,diet,fruit candy
8,coke,cola,full,fruit dessert spice herbal
9,diet coke,cola,diet,fruit dessert spice herbal
10,coke zero,cola,diet,fruit dessert spice herbal
11,pepsi,cola,full,fruit dessert spice herbal
12,diet pepsi,cola,diet,fruit dessert spice herbal
13,rootbeer,cola,full,fruit
14,fanta,fruit,full,fruit candy
15,big red,fruit,full,fruit candy
16,powerade,energy,full,fruit
17,lemonade,citrus,full,fruit candy herbal
18,light lemonade,citrus,diet,fruit candy herbal
